"algorithm","dataset","target_chunk_size","dedup_ratio"
"FSC","CODE","512",0.0490659070877096
"FSC","CODE","1024",0.0217249589157461
"FSC","CODE","2048",0.010419834389585
"FSC","CODE","4096",0.00735306395616864
"FSC","CODE","8192",0.00596353684198758
"FSC","CODE","737",0.0321187378144301
"FSC","CODE","5152",0.00719517793671953
"AE","CODE","512",0.876249809597385
"AE","CODE","1024",0.852731887704041
"AE","CODE","2048",0.823171105071633
"AE","CODE","4096",0.786594296569488
"AE","CODE","8192",0.74554794324592
"AE","CODE","737",0.864828934617298
"AE","CODE","5152",0.773427360939518
"RAM","CODE","512",0.115277432113599
"RAM","CODE","1024",0.116100487153515
"RAM","CODE","2048",0.116758206776029
"RAM","CODE","4096",0.108390213723464
"RAM","CODE","8192",0.093414853787693
"RAM","CODE","737",0.110544007928751
"RAM","CODE","5152",0.09521848082903
"MII","CODE","512",0.831218257526586
"MII","CODE","1024",0.831218257526586
"MII","CODE","2048",0.831218257526586
"MII","CODE","4096",0.719212864995414
"MII","CODE","8192",0.719212864995414
"MII","CODE","737",0.831218257526586
"MII","CODE","5152",0.719212864995414
"PCI","CODE","512",0.575269106318876
"PCI","CODE","1024",0.506930723429483
"PCI","CODE","2048",0.443809782801936
"PCI","CODE","4096",0.378789874218936
"PCI","CODE","8192",0.329312261339172
"PCI","CODE","737",0.541607538826081
"PCI","CODE","5152",0.360188739064194
"Rabin","CODE","512",0.870653014776025
"Rabin","CODE","1024",0.846788215075978
"Rabin","CODE","2048",0.816969221516887
"Rabin","CODE","4096",0.780105451740932
"Rabin","CODE","8192",0.736954472017871
"Rabin","CODE","737",0.870653014776025
"Rabin","CODE","5152",0.780105451740932
"Buzhash","CODE","512",0.871619894385522
"Buzhash","CODE","1024",0.85028216025522
"Buzhash","CODE","2048",0.821168628338724
"Buzhash","CODE","4096",0.787881810104148
"Buzhash","CODE","8192",0.749187144841804
"Buzhash","CODE","737",0.871619894385522
"Buzhash","CODE","5152",0.787881810104148
"Gear","CODE","512",0.868665343181404
"Gear","CODE","1024",0.845353437351693
"Gear","CODE","2048",0.814905214368024
"Gear","CODE","4096",0.775281755200683
"Gear","CODE","8192",0.73248229627768
"Gear","CODE","737",0.845353437351693
"Gear","CODE","5152",0.775281755200683
"BFBC","CODE","512",0.849630754505355
"BFBC","CODE","1024",0.777641039598693
"BFBC","CODE","2048",0.681512705700502
"BFBC","CODE","4096",0.564760440024157
"BFBC","CODE","8192",0.444636191136556
"BFBC","CODE","737",0.814888377504647
"BFBC","CODE","5152",0.526780535882507
"BFBC*","CODE","512",0.838043193209142
"BFBC*","CODE","1024",0.588678761827164
"BFBC*","CODE","2048",0.59515151709802
"BFBC*","CODE","4096",0.588174395019374
"BFBC*","CODE","8192",0.423352992136613
"BFBC*","CODE","737",0.762382712036012
"BFBC*","CODE","5152",0.205328505943835
"FSC","LNX","512",0.0331473795808487
"FSC","LNX","1024",0.0318137410988247
"FSC","LNX","2048",0.0302630912406646
"FSC","LNX","4096",0.019130651884444
"FSC","LNX","8192",0.00767237885717598
"FSC","LNX","737",0.00343413407349979
"FSC","LNX","5152",0.00207919388731692
"AE","LNX","512",0.202267770894751
"AE","LNX","1024",0.199630078561041
"AE","LNX","2048",0.193194927780283
"AE","LNX","4096",0.178493646972741
"AE","LNX","8192",0.14778025299233
"AE","LNX","737",0.201086670568516
"AE","LNX","5152",0.169717368004063
"RAM","LNX","512",0.19860034642937
"RAM","LNX","1024",0.197137669457452
